,Unnamed: 0.1,Unnamed: 0,ID,Username,Review,AppRating,ThumbsUpCount,ReviewTime,CompanyReply,ReplyTime,AppVersion,result,sentiment,score
0,0,0,bab80cc4-9359-43fb-9016-327619b24c61,Dushyant Panwar,I am rating it one star because I have to post my feedback otherwise I will give it - star rating,1,0,2024-04-10 11:50:51,,,8.9.20.574,"[{'label': 'NEGATIVE', 'score': 0.9995008707046509}]",NEGATIVE,0.9995008707046508
1,1,1,6bfcc80a-0b9e-4fa6-9cb4-df3601a4aa5e,Raj Mitra,👍🏻,1,0,2024-04-10 11:48:18,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9981983304023743}]",POSITIVE,0.9981983304023744
2,2,2,9188af44-5004-42c3-a029-55a8951b38c8,Salvadore Dsouza,"Stop controlling , if you want money why don't you make your damn app exclusive for people who are willing to pay. I want to bloody stop the song but your interference in trying to force me to go to premium by blocking my access isn't acceptable.",1,0,2024-04-10 11:47:40,,,,"[{'label': 'NEGATIVE', 'score': 0.9994779229164124}]",NEGATIVE,0.9994779229164124
3,3,3,4ebe80ee-21b0-4b46-85be-2ae98373be29,Dandu santhosh Reddy,So bad,1,0,2024-04-10 11:45:10,,,,"[{'label': 'NEGATIVE', 'score': 0.9994327425956726}]",NEGATIVE,0.9994327425956726
4,4,4,757220a6-545f-4040-b2b9-f739bca1641b,FF GAMER,Very bad!!! I cant hear song you want money all want to take premium very bad spotify very bad...😕 i cant give even one star😒👎🏻,1,0,2024-04-10 11:44:16,,,,"[{'label': 'NEGATIVE', 'score': 0.9995046854019165}]",NEGATIVE,0.9995046854019164
5,5,5,d760d20f-4d07-40f9-ac9a-95692c8afd6b,Ivy Waweru,"I love spotify but the only thing i hate is that i can be playing an album which has over 15 songs (bc it says a playlist or album under 15 songs will have suggested songs included) and it will still play suggested songs that aren't even from the same artist(I know that's the point but at least play a song from the same artist). I don't have premium as well so i get six skips per hour and the suggested songs are always more than six. I just want to be able to listen to the album i picked, please",5,287,2024-04-10 11:42:54,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9963541030883789}]",POSITIVE,0.9963541030883788
6,6,6,fd224a92-655a-43a6-9272-3290916fd597,Annyajit Roy,This app is very bad 👎👎song search is best But App update is not better.👎👎,1,0,2024-04-10 11:39:15,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.999503493309021}]",NEGATIVE,0.999503493309021
7,7,7,8a1a2d56-710e-49e2-93d7-9a784f661868,Andy Chan,Excellent,5,0,2024-04-10 11:38:48,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.998581051826477}]",POSITIVE,0.998581051826477
8,8,8,fd9972e6-7563-42a3-a0fc-f6ee7267e936,Tanvi Dhaigude,Bad.,1,0,2024-04-10 11:33:16,,,,"[{'label': 'NEGATIVE', 'score': 0.9992610812187195}]",NEGATIVE,0.9992610812187196
9,9,9,99fb0fab-4588-460b-b96b-f9699a935de3,Happy Batth,Ads🥲🥲🥺,1,0,2024-04-10 11:31:38,,,,"[{'label': 'POSITIVE', 'score': 0.9968241453170776}]",POSITIVE,0.9968241453170776
